Price
749.75
791.6666667
850
898.75
987.5
998.3333333
1000
1099.5
1150
1165
1165
1200
1212.5
1250
1250
1308
1312.5
1350
1350
1375
1400
1400
1416.666667
1433.333333
1433.333333
1450
1533.333333
1540
1687.5
1687.5
1750
1766.666667
1775
1800
1825
1865
1900
1995
1997.5
2000
2000
2000
2000
2050
2056.666667
2147.5
2150
2150
2150
2180
2195
2200
2205.666667
2236.666667
2248
2250
2250
2291.666667
2333.333333
2350
2397.5
2400
2400
2508.333333
2550
2595
2613
2625
2695
2700
2750
2814.333333
2830.333333
2866.666667
2900
2900
2947.5
2950
2950
2961
3000
3003
3010
3050
3061
3100
3102.5
3204
3225
3247.5
3262.5
3287.5
3295
3295
3299.666667
3300
3347.5
3395
3395
3400
3451.333333
3523
3600
3600
3600
3689
3695
3695
3697.5
3711
3727.5
3730
3750
3857
3881
3900
3900
3930
3995
3995
4000
4013
4047.5
4050
4125
4150
4150
4200
4217
4219
4220
4295
4335
4350
4450
4495
4497.5
4497.5
4605
4705
4747
4750
4800
4850
4875
4882.666667
4995
5025
5300
5380
5435
5750
5812.5
5928
5999
6000
6000
6825
7000
7180
7250
7350
7495
7671.666667
8000
8010
8333.333333
8350
10400
10625
12500
17500
25000
67708
